"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","chr","start","end","strand"
"ENSG00000145777",161.6242648188,-2.775427758788,0.603807110726884,-4.59654699237782,4.29550129504104e-06,0.0020703590896289,"TSLP","5","111070062","111078026","1"
"ENSG00000163251",54.0974093441748,2.48886678679015,0.543447111583108,4.5797773762011,4.65471112942864e-06,0.0020703590896289,"FZD5","2","207762598","207769906","-1"
"ENSG00000164647",1912.31092293784,1.55519649128662,0.339537115328938,4.58034312325464,4.64213707745181e-06,0.0020703590896289,"STEAP1","7","90154456","90164829","1"
"ENSG00000176771",104.874672764373,-2.21230456960431,0.481729791604943,-4.59241800726863,4.3813967064633e-06,0.0020703590896289,"NCKAP5","2","132671788","133568463","-1"
"ENSG00000178695",2904.32203854684,-2.50358657120382,0.54654381376439,-4.58076097131181,4.63287106241659e-06,0.0020703590896289,"KCTD12","13","76880166","76886390","-1"
"ENSG00000233117",87.3930702814217,3.34166448585691,0.72819260797567,4.58898435559038,4.45407804951878e-06,0.0020703590896289,"LINC00702","10","4201141","4243912","-1"
"ENSG00000250978",58.2119201130314,6.23178727255037,1.34847848141308,4.62134721350542,3.81256064893356e-06,0.0020703590896289,"AC079467.1","5","67463809","67475592","-1"
"ENSG00000100626",505.411058697614,-1.05113716322129,0.231850107136307,-4.53369280784209,5.79613084360219e-06,0.00210508169797483,"GALNT16","14","69259277","69357033","1"
"ENSG00000101347",13279.1441069173,3.85602988980953,0.857420899180934,4.49724271182691,6.88403879975418e-06,0.00210508169797483,"SAMHD1","20","36889773","36951901","-1"
"ENSG00000102984",43.2212308681722,-1.5982980397794,0.354141936100296,-4.51315666644673,6.38698062397854e-06,0.00210508169797483,"ZNF821","16","71859680","71895336","-1"
"ENSG00000115419",4136.4451427688,1.18545153079819,0.260232328440162,4.55535842876944,5.22963275433953e-06,0.00210508169797483,"GLS","2","190880827","190965552","1"
"ENSG00000124702",1067.87213943343,0.607170051671629,0.134006033258306,4.53091578721137,5.872854723337e-06,0.00210508169797483,"KLHDC3","6","43014103","43021298","1"
"ENSG00000125148",3740.82230412227,2.20009844888092,0.484714765440938,4.53895487767846,5.65337307840569e-06,0.00210508169797483,"MT2A","16","56608584","56609497","1"
"ENSG00000135821",21687.9680989736,2.99883480492205,0.666463325014552,4.49962464904813,6.80735541341607e-06,0.00210508169797483,"GLUL","1","182381704","182392206","-1"
"ENSG00000139132",1314.63404151915,2.25099637175124,0.493651194081708,4.55989248833592,5.11798164424956e-06,0.00210508169797483,"FGD4","12","32399529","32646050","1"
"ENSG00000146006",48.0062498175557,-4.22524784844784,0.935855429269177,-4.51485102965893,6.336128945153e-06,0.00210508169797483,"LRRTM2","5","138868921","138875368","-1"
"ENSG00000146592",771.393677378594,-2.00706432095632,0.445579405895418,-4.5043920217161,6.65632318068317e-06,0.00210508169797483,"CREB5","7","28299321","28825894","1"
"ENSG00000162664",950.22420648277,-0.476365798407478,0.10503234757399,-4.53541989120924,5.74889962599795e-06,0.00210508169797483,"ZNF326","1","89995110","90035533","1"
"ENSG00000176293",150.7619004685,-1.15020862625073,0.254854463771736,-4.51319788254102,6.38573901489008e-06,0.00210508169797483,"ZNF135","19","58059239","58086310","1"
"ENSG00000177283",128.896288767137,2.52767797080755,0.560813289460052,4.50716489482834,6.56995756423429e-06,0.00210508169797483,"FZD8","10","35638249","35642278","-1"
"ENSG00000196932",73.9553089202894,-2.08222850456421,0.462182447463251,-4.50520896237577,6.63076602900733e-06,0.00210508169797483,"TMEM26","10","61406643","61453450","-1"
"ENSG00000214944",656.006501955293,1.07551740069106,0.236967368715784,4.53867301021106,5.66093393862297e-06,0.00210508169797483,"ARHGEF28","5","73626158","73941993","1"
"ENSG00000136237",89.2881311408241,2.76518639800408,0.615958662090042,4.48924021722721,7.14776575211468e-06,0.00214112052468447,"RAPGEF5","7","22118236","22357154","-1"
"ENSG00000137801",79175.7679310507,1.96554211945526,0.438285299913035,4.48461794143055,7.30446951095264e-06,0.00214430006963526,"THBS1","15","39581079","39599466","1"
"ENSG00000276600",336.516988678078,-1.83000468261314,0.408643027973968,-4.47824765709625,7.52582625133038e-06,0.00216596230817701,"RAB7B","1","205976740","206003461","-1"
"ENSG00000146250",281.597692831429,-2.71787833108444,0.607813479531457,-4.47156639760533,7.76487431981974e-06,0.00219178510127527,"PRSS35","6","83512534","83525704","1"
"ENSG00000169410",1139.33199170309,0.388088929304651,0.0869446657919881,4.46363127363258,8.05821898397625e-06,0.00223167053295855,"PTPN9","15","75463251","75579289","-1"
"ENSG00000189221",2507.73210318157,3.30733046908569,0.742143095534185,4.45645925831206,8.33244276706644e-06,0.00226488138768521,"MAOA","X","43654907","43746824","1"
"ENSG00000157214",3196.23434567935,1.98509493301839,0.445928154659344,4.45160260072579,8.52317917674281e-06,0.00227460407193147,"STEAP2","7","90167590","90238137","1"
"ENSG00000074319",1059.46313098291,0.407002933339727,0.0916234336434586,4.44212705369163,8.90739349963293e-06,0.00233469146049307,"TSG101","11","18468336","18526951","-1"
"ENSG00000166741",7440.53857690454,2.16145734319785,0.487569391426145,4.43312763517736,9.28758460117627e-06,0.00239163450484325,"NNMT","11","114257787","114313285","1"
"ENSG00000012048",220.640419498412,-1.20044077855851,0.27153518093476,-4.42094013168383,9.82724007719387e-06,0.00243083949107609,"BRCA1","17","43044295","43170245","-1"
"ENSG00000112837",2801.33541444177,-1.80421888151168,0.40832854358495,-4.418547049568,9.93666504050726e-06,0.00243083949107609,"TBX18","6","84687351","84764598","-1"
"ENSG00000169715",549.10177848265,2.14976465268524,0.486338165216573,4.42030835011256,9.85601627597996e-06,0.00243083949107609,"MT1E","16","56625475","56627112","1"
"ENSG00000120690",1555.63774759722,0.927239938011102,0.210381982133282,4.40741136008347,1.04613390549131e-05,0.00243732594679388,"ELF1","13","40931924","41061440","-1"
"ENSG00000138078",1335.14120613731,-0.664589567831812,0.150752451233791,-4.40848266408053,1.04097351032946e-05,0.00243732594679388,"PREPL","2","44316281","44361862","-1"
"ENSG00000168610",8296.49721180827,0.623402819159403,0.141335178752969,4.41081141057605,1.02983982840602e-05,0.00243732594679388,"STAT3","17","42313324","42388568","-1"
"ENSG00000020577",3442.32070014139,1.20914610313237,0.275471348699699,4.38937155838485,1.13678696334529e-05,0.00246330727225089,"SAMD4A","14","54567097","54793315","1"
"ENSG00000114098",1047.55184787209,1.36557629821193,0.310568273361286,4.39702447205014,1.09744975627418e-05,0.00246330727225089,"ARMC8","3","138187248","138298389","1"
"ENSG00000152779",42.3991939998531,4.02444266560157,0.917036729388531,4.38852941941052,1.141196992186e-05,0.00246330727225089,"SLC16A12","10","89430299","89556641","-1"
"ENSG00000168481",16.9517989374346,4.89809193802436,1.11601322551287,4.38891925834788,1.13915349640315e-05,0.00246330727225089,"LGI3","8","22146830","22157084","-1"
"ENSG00000198431",23336.9597412042,1.54646864155708,0.351398658826155,4.40089511645564,1.07805228059014e-05,0.00246330727225089,"TXNRD1","12","104215779","104350307","1"
"ENSG00000138316",826.615849635179,-2.40688521270164,0.548981430870187,-4.3842743622248,1.16373031664526e-05,0.00247554109966944,"ADAMTS14","10","70672506","70762441","1"
"ENSG00000104756",1688.90222871612,0.835604106721646,0.191020867992384,4.37441267806909,1.21759849397841e-05,0.00248220981869653,"KCTD9","8","25427847","25458476","-1"
"ENSG00000118689",4022.52650890261,1.29509600835836,0.29587367993164,4.37719234998389,1.20217874578115e-05,0.00248220981869653,"FOXO3","6","108559835","108684774","1"
"ENSG00000230417",51.848571433322,-1.47923103424217,0.337850324168558,-4.37836203911459,1.19574596716185e-05,0.00248220981869653,"LINC00595","10","78179185","78551355","1"
"ENSG00000131979",78.5258736391766,1.6310104209921,0.373522761118924,4.36656233774415,1.26217277118321e-05,0.00253783177197632,"GCH1","14","54842008","54902826","-1"
"ENSG00000119138",1908.71067081048,2.10707069257853,0.483176818933232,4.36086875448736,1.2954705800214e-05,0.00256958340183163,"KLF9","9","70384597","70414624","-1"
"ENSG00000074590",417.049857304686,1.37227683944226,0.315114050504793,4.354857668974,1.33153405798305e-05,0.00257161275040463,"NUAK1","12","106063340","106140033","-1"
"ENSG00000123411",254.565955538684,-0.649207245168011,0.14903887752251,-4.3559590353863,1.3248555429303e-05,0.00257161275040463,"IKZF4","12","56007659","56038435","1"
"ENSG00000185432",4188.32790150795,2.3173866151731,0.533072409856157,4.34722670377636,1.37869697386593e-05,0.00262811872498755,"METTL7A","12","50923472","50932510","1"
"ENSG00000120129",3351.92811588424,2.9500563329445,0.680169890102771,4.3372345290068,1.44286642707833e-05,0.00271517864316098,"DUSP1","5","172768096","172771195","-1"
"ENSG00000042286",627.801390627094,0.708135537719915,0.163602256786521,4.32839712378747,1.50198462308514e-05,0.00271612262486854,"AIFM2","10","70098223","70132934","-1"
"ENSG00000096060",2859.85901993492,3.93802179495035,0.909754460130539,4.32866445566564,1.50016290444497e-05,0.00271612262486854,"FKBP5","6","35573585","35728583","-1"
"ENSG00000123358",179.826398228829,1.27579291750649,0.294488831490246,4.33222852985768,1.47607609363145e-05,0.00271612262486854,"NR4A1","12","52022832","52059507","1"
"ENSG00000168994",1320.27378771522,1.38487765590632,0.320117870643169,4.32614915600891,1.51738694126734e-05,0.00271612262486854,"PXDC1","6","3722614","3752026","-1"
"ENSG00000162614",5458.83556833379,2.02935581096409,0.469743617303886,4.32013493362969,1.55933823462527e-05,0.00275758633829274,"NEXN","1","77888513","77943895","1"
"ENSG00000119508",244.953837243296,2.12882683176882,0.493079934445955,4.31740714446403,1.57872788412613e-05,0.00275863903371469,"NR4A3","9","99821855","99866891","1"
"ENSG00000115084",2574.874044745,0.831088587388669,0.193018178571305,4.30575292721274,1.66418721162528e-05,0.00287375763438069,"SLC35F5","2","113705011","113756693","-1"
"ENSG00000165272",149.907797788519,-2.99213060717684,0.696052741494341,-4.29871248082882,1.71793157152637e-05,0.00289836777090391,"AQP3","9","33441156","33447596","-1"
"ENSG00000174680",28.4960962552656,2.74825638251515,0.639022291422522,4.30072067814298,1.70243539713609e-05,0.00289836777090391,"GRIK1-AS1","21","29748175","29764002","1"
"ENSG00000162692",561.973714001861,-3.6118967229918,0.84097672698492,-4.2948830890258,1.74785420517292e-05,0.00291534136631001,"VCAM1","1","100719742","100739045","1"
"ENSG00000146373",894.019752024006,1.09877822979892,0.25604998066934,4.29126464656082,1.77658431452657e-05,0.00292996680546303,"RNF217","6","124962545","125092633","1"
"ENSG00000105711",113.125020207985,-1.2555938342597,0.29299769310105,-4.28533692866539,1.82462446106723e-05,0.00294305910324668,"SCN1B","19","35030470","35040449","1"
"ENSG00000108830",202.763581677414,-2.35053062046772,0.548475616798619,-4.28556994782642,1.82271285459533e-05,0.00294305910324668,"RND2","17","43025231","43032041","1"
"ENSG00000165995",527.721965518132,3.23323179545884,0.754939578886784,4.28276896043321,1.84581805747205e-05,0.00294488233125813,"CACNB2","10","18140677","18543557","1"
"ENSG00000137343",169.155982548293,-0.786772789954192,0.18384075069052,-4.27964304431423,1.87193296049555e-05,0.00295443354775847,"ATAT1","6","30626842","30646823","1"
"ENSG00000169738",591.741904974471,2.14095055416952,0.50067475327207,4.27613044232352,1.90169823957884e-05,0.00296948157027002,"DCXR","17","82035136","82037732","-1"
"ENSG00000100242",2275.03864278658,1.90638403858434,0.44693443942719,4.26546685690107,1.99484626931828e-05,0.00305003682719309,"SUN2","22","38734725","38794143","-1"
"ENSG00000186918",1845.29966992078,0.776955102234227,0.182098414365123,4.26667692271259,1.98406160423967e-05,0.00305003682719309,"ZNF395","8","28345590","28402701","-1"
"ENSG00000096384",10801.6540458714,-0.372818822524013,0.0875715995306083,-4.25730287584508,2.06907959630129e-05,0.00311568566629856,"HSP90AB1","6","44246166","44253888","1"
"ENSG00000108256",2714.92537725957,0.392202162420071,0.0923439545650298,4.24718828934142,2.16470029092129e-05,0.00311568566629856,"NUFIP2","17","29255839","29294148","-1"
"ENSG00000112576",636.810582695677,0.936078721474205,0.220402016066428,4.24714228200198,2.16514469248163e-05,0.00311568566629856,"CCND3","6","41934933","42050357","-1"
"ENSG00000135362",115.608347558045,1.52998979623018,0.360215062358171,4.24743425834003,2.16232585986416e-05,0.00311568566629856,"PRR5L","11","36296288","36465204","1"
"ENSG00000143494",21.5258352088702,-3.74233756248182,0.880787399484416,-4.24885456430515,2.1486635301153e-05,0.00311568566629856,"VASH2","1","212950520","212992037","1"
"ENSG00000246430",2304.14995198037,2.03991387274479,0.480134085136024,4.24863373773365,2.15078231569897e-05,0.00311568566629856,"LINC00968","8","56496048","56559823","-1"
"ENSG00000110756",1026.06386551358,1.59275216527158,0.375241878276811,4.24460130246079,2.18982423612459e-05,0.00312060583862492,"HPS5","11","18278668","18322198","-1"
"ENSG00000133142",3106.60075337263,1.5518173323937,0.365940694350642,4.24062520607985,2.22898057128361e-05,0.00314586315627892,"TCEAL4","X","103576231","103587736","1"
"ENSG00000003402",2648.20673221682,1.18071239697812,0.279374274344149,4.22627459077942,2.37592039059173e-05,0.00317018874042172,"CFLAR","2","201116154","201176687","1"
"ENSG00000067900",2561.70754741663,0.569992510937276,0.134933500275131,4.22424757213778,2.39740393913892e-05,0.00317018874042172,"ROCK1","18","20946906","21111813","-1"
"ENSG00000129484",198.755595453709,-0.779742681442609,0.184541370903904,-4.22530014610461,2.38622516995111e-05,0.00317018874042172,"PARP2","14","20343582","20357905","1"
"ENSG00000139291",552.650198868262,0.703243834061024,0.166199400719838,4.2313259314724,2.32317745035592e-05,0.00317018874042172,"TMEM19","12","71686087","71705046","1"
"ENSG00000140807",245.331689721659,2.42070812032844,0.571741424802911,4.23392116665834,2.29651476733392e-05,0.00317018874042172,"NKD1","16","50548396","50649249","1"
"ENSG00000150403",3821.18372237376,0.283065303670108,0.0670024965288241,4.22469785955415,2.39261561638613e-05,0.00317018874042172,"TMCO3","13","113491021","113554590","1"
"ENSG00000162426",168.067401195384,1.30868818476097,0.309756981997215,4.22488680101079,2.39060913836811e-05,0.00317018874042172,"SLC45A1","1","8317826","8344167","1"
"ENSG00000111450",1200.12180152855,0.647989470633863,0.153723754912202,4.21528521082482,2.49462719027132e-05,0.00319031821332483,"STX2","12","130789600","130839266","-1"
"ENSG00000127824",229.743639762611,-1.55598387929008,0.369397798272468,-4.21221752421596,2.52875846524895e-05,0.00319031821332483,"TUBA4A","2","219249710","219278170","-1"
"ENSG00000145244",162.138992092919,1.9462595718694,0.461716576470355,4.21526900062328,2.49480638880932e-05,0.00319031821332483,"CORIN","4","47593999","47838106","-1"
"ENSG00000166526",433.42527770713,-0.58297588321219,0.138347480566411,-4.21385254596194,2.5105122079565e-05,0.00319031821332483,"ZNF3","7","100064033","100082548","-1"
"ENSG00000229647",11.9436510978945,2.80678030031071,0.665613521325051,4.21683185570389,2.47758573370433e-05,0.00319031821332483,"MYOSLID","2","207166120","207248668","1"
"ENSG00000231246",67.1535535804626,3.12622284527065,0.742403980376074,4.21094569520899,2.54303877203301e-05,0.00319031821332483,"AL445426.1","1","112177234","112360625","-1"
"ENSG00000177409",897.270384162639,-0.577857652244999,0.13730726039054,-4.20850034150714,2.57071140952503e-05,0.00319770356517021,"SAMD9L","7","93130056","93148385","-1"
"ENSG00000067798",670.837009863974,2.22743755951861,0.529672440931769,4.20531141019953,2.60722916197523e-05,0.00321587475961954,"NAV3","12","77324641","78213010","1"
"ENSG00000163378",1877.62305253724,1.26790671719711,0.301868445897056,4.20019625909988,2.66683713379576e-05,0.00326198628748785,"EOGT","3","68975217","69013684","-1"
"ENSG00000126016",427.420091779635,-2.31669766535953,0.552525870174987,-4.19292161763543,2.7538461551268e-05,0.00330316858642115,"AMOT","X","112774503","112840815","-1"
"ENSG00000163110",1474.82391574494,1.58268445748989,0.377474074082335,4.19282956408995,2.75496427255439e-05,0.00330316858642115,"PDLIM5","4","94451857","94668227","1"
"ENSG00000164291",506.215294883746,0.858950213407731,0.205003942727532,4.18992045703898,2.79052258288747e-05,0.00330316858642115,"ARSK","5","95555074","95605064","1"
"ENSG00000235513",52.9420058451815,-1.91838666206731,0.457777605688283,-4.19065205075498,2.7815393926016e-05,0.00330316858642115,"AL035681.1","22","41207592","41228500","-1"
"ENSG00000126861",328.242445192967,-1.70234644825813,0.407130261039081,-4.1813311639213,2.8980740633587e-05,0.00338355300539918,"OMG","17","31272013","31297539","-1"
"ENSG00000170921",2151.69644590991,0.593221776567864,0.141891085200581,4.18082486104937,2.90453521379136e-05,0.00338355300539918,"TANC2","17","63009556","63427699","1"
"ENSG00000123908",1790.87487503237,0.686141444742611,0.164208008317305,4.17848953759159,2.9345149325081e-05,0.00339155985664204,"AGO2","8","140520156","140635633","-1"
"ENSG00000101290",2224.33668214231,0.755777446612729,0.181153088607993,4.17203732169423,3.01888172626474e-05,0.00342805237085959,"CDS2","20","5126879","5197887","1"
"ENSG00000132622",68.7957253451795,-2.31510232213984,0.554890935044847,-4.17217542390152,3.01705205356736e-05,0.00342805237085959,"HSPA12B","20","3732685","3753111","1"
"ENSG00000148175",14638.7576453452,1.42903484298201,0.342633612004571,4.17073746682783,3.03615484542681e-05,0.00342805237085959,"STOM","9","121338988","121370304","-1"
"ENSG00000205213",408.910967279453,-1.10711446602922,0.265606517276504,-4.16825037797053,3.06946663726766e-05,0.00343920849632174,"LGR4","11","27365961","27472790","-1"
"ENSG00000162704",2708.91407221568,0.889236900480168,0.214081772480359,4.15372542079337,3.27105659457751e-05,0.00360996757106832,"ARPC5","1","183620846","183635783","-1"
"ENSG00000170802",309.759326135836,0.910561928993833,0.219136082193353,4.15523504792061,3.2495330952075e-05,0.00360996757106832,"FOXN2","2","48314637","48379295","1"
"ENSG00000128311",328.608069008086,1.29136986471515,0.311445907878725,4.14636966499492,3.3778831444926e-05,0.00364563005844576,"TST","22","37010859","37020183","-1"
"ENSG00000131242",28.3465807013206,-2.14806937224475,0.517699122214584,-4.14926214874744,3.33548659726882e-05,0.00364563005844576,"RAB11FIP4","17","31391675","31538211","1"
"ENSG00000256235",1205.53635453956,1.26765879171252,0.305682216473418,4.14698246544138,3.36885851690531e-05,0.00364563005844576,"SMIM3","5","150777946","150796734","1"
"ENSG00000150907",758.961316626483,2.28277400514766,0.550932069880429,4.14347635570225,3.4208035474457e-05,0.00364912592526432,"FOXO1","13","40469953","40666641","-1"
"ENSG00000243244",1049.07397480554,1.43800233203158,0.34710842581255,4.14280445271629,3.43084464972391e-05,0.00364912592526432,"STON1","2","48529383","48598513","1"
"ENSG00000113140",31591.0330022765,-0.532423680056466,0.128614770425131,-4.13967756810949,3.47794306309514e-05,0.003672607789936,"SPARC","5","151661096","151686975","-1"
"ENSG00000116711",110.691766351566,-2.49335191704788,0.603113795745591,-4.13413179177159,3.56298982237492e-05,0.00373554032948708,"PLA2G4A","1","186828949","186988981","1"
"ENSG00000157510",520.723548237645,1.71182053678311,0.414810061143443,4.12675751418468,3.67913976090327e-05,0.00380298685989705,"AFAP1L1","5","149271859","149343637","1"
"ENSG00000167549",2200.33699518545,2.36852858853178,0.573839439239587,4.12751098403133,3.66710920598151e-05,0.00380298685989705,"CORO6","17","29614756","29622907","-1"
"ENSG00000011198",1881.47818792672,1.14418163904503,0.277772092974991,4.11913819992004,3.80292024033265e-05,0.00381713790410955,"ABHD5","3","43690108","43734371","1"
"ENSG00000074660",31.9267557706862,1.35048965014516,0.32758546161294,4.12255673220576,3.74690290078366e-05,0.00381713790410955,"SCARF1","17","1633858","1645744","-1"
"ENSG00000132970",736.433800132592,1.11077704859574,0.269483656598238,4.12187166604968,3.75806550861336e-05,0.00381713790410955,"WASF3","13","26557703","26688948","1"
"ENSG00000143320",1636.56793324932,-1.67612534170793,0.407030753581991,-4.11793292511076,3.8228591899721e-05,0.00381713790410955,"CRABP2","1","156699606","156705816","-1"
"ENSG00000149289",438.595229076067,0.728049943746346,0.176733169900133,4.11948670505795,3.79717331868091e-05,0.00381713790410955,"ZC3H12C","11","110093392","110171841","1"
"ENSG00000034713",1469.06270341895,0.364123452516249,0.0885626033787158,4.11148090305302,3.93129396377523e-05,0.00384194178686198,"GABARAPL2","16","75566375","75577881","1"
"ENSG00000102554",132.612679486446,2.57510328677952,0.626267576676023,4.11182597133183,3.92542150025525e-05,0.00384194178686198,"KLF5","13","73054976","73077541","1"
"ENSG00000132530",205.686414758217,-1.06081544116426,0.258186331465061,-4.10872037704217,3.97857440797807e-05,0.00384194178686198,"XAF1","17","6755447","6775647","1"
"ENSG00000174306",3424.33223277779,1.14236629295233,0.277939766316449,4.11012180118081,3.95450471418784e-05,0.00384194178686198,"ZHX3","20","41178448","41317672","-1"
"ENSG00000197301",221.433482545607,2.3537672869122,0.572046958570245,4.1146399812965,3.87784175714903e-05,0.00384194178686198,"HMGA2-AS1","12","65851340","65882167","-1"
"ENSG00000183508",90.6315412358088,-2.49148104295021,0.60694065836837,-4.10498293135942,4.04344734213501e-05,0.00385387792778297,"TENT5C","1","117606048","117628389","1"
"ENSG00000185022",548.784675499236,1.26865005130305,0.309032438706942,4.10523263063046,4.03908206705992e-05,0.00385387792778297,"MAFF","22","38200767","38216507","1"
"ENSG00000131446",5725.35127230148,0.871090800193777,0.21229869231304,4.10313785121828,4.07584231413129e-05,0.003859691192698,"MGAT1","5","180784782","180815652","-1"
"ENSG00000181467",653.762983489125,-1.27028410970446,0.309763019463754,-4.1008255662781,4.11678801647172e-05,0.00387347528883153,"RAP2B","3","153162270","153170620","1"
"ENSG00000069020",870.774173654948,-0.750651765642129,0.183158936529132,-4.09836276551396,4.16082814229445e-05,0.00388997678169414,"MAST4","5","66596361","67169595","1"
"ENSG00000106976",1142.96037718979,-1.76817860275156,0.43213182184783,-4.09175745306302,4.281163004223e-05,0.00389014488567389,"DNM1","9","128191655","128255248","1"
"ENSG00000114450",1451.50092352713,0.975643759160117,0.238527212815497,4.09028281362088,4.30847500477739e-05,0.00389014488567389,"GNB4","3","179396088","179451476","-1"
"ENSG00000120162",65.0147786878117,2.73775997251754,0.669658805865171,4.08829085578956,4.3456308571873e-05,0.00389014488567389,"MOB3B","9","27325209","27529814","-1"
"ENSG00000121879",1059.37422380151,0.558964029065875,0.136771958747779,4.08683208300511,4.37303383387514e-05,0.00389014488567389,"PIK3CA","3","179148114","179240093","1"
"ENSG00000149346",100.603168247938,-0.611546619888344,0.149462274577373,-4.09164534406815,4.28323360799214e-05,0.00389014488567389,"SLX4IP","20","10435305","10636829","1"
"ENSG00000154734",30996.0885067012,2.2954599617151,0.56157447893602,4.08754323391648,4.35965448558014e-05,0.00389014488567389,"ADAMTS1","21","26835755","26845409","-1"
"ENSG00000171456",2288.22050113319,0.307934398391413,0.0753059318149211,4.08911211866047,4.3302752209035e-05,0.00389014488567389,"ASXL1","20","32358330","32439319","1"
"ENSG00000181852",1417.35770219968,0.512647474282749,0.125211584766327,4.0942495475915,4.23537954402647e-05,0.00389014488567389,"RNF41","12","56202175","56221933","-1"
"ENSG00000115841",193.531967370932,0.780183138967388,0.191301789664369,4.07828458027594,4.53692124943334e-05,0.00392177267384713,"RMDN2","2","37923187","38067142","1"
"ENSG00000120526",250.597933188834,0.633152398386348,0.155161052245413,4.08061423420172,4.4916847783771e-05,0.00392177267384713,"NUDCD1","8","109240919","109334118","-1"
"ENSG00000132356",2644.02623165695,0.865071768214215,0.212021967608406,4.080104424896,4.50154737634144e-05,0.00392177267384713,"PRKAA1","5","40759379","40798374","-1"
